comparison,reference_base_model,reference_correction,candidate_base_model,candidate_correction,dataset,role,n,rmse_reference,rmse_candidate,rmse_difference,rmse_ci95_low,rmse_ci95_high,rmse_reduction_pct,mae_reference,mae_candidate,mae_difference,mae_ci95_low,mae_ci95_high,mae_reduction_pct
optional_quality,ilr_ridge,C0_none,ilr_ridge_qproxy,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.34644297705135874,0.34035893541035267,-0.006084041641006066,-0.010015236752425048,-0.0024445590018909594,1.7561451794429455,0.2626453548842908,0.2574320268010841,-0.005213328083206681,-0.008607578810728624,-0.0020337722981033147,1.9849306246072496
optional_quality,ilr_ridge,C1_global,ilr_ridge_qproxy,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.34035893541035267,-0.006084041641006066,-0.010015236752425048,-0.0024445590018909594,1.7561451794429455,0.2626453548842908,0.2574320268010841,-0.005213328083206681,-0.008607578810728624,-0.0020337722981033147,1.9849306246072496
optional_quality,ilr_ridge,C1_domain,ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.34035893541035267,-0.006084041641006066,-0.010015236752425048,-0.0024445590018909594,1.7561451794429455,0.2626453548842908,0.2574320268010841,-0.005213328083206681,-0.008607578810728624,-0.0020337722981033147,1.9849306246072496
optional_quality,ilr_ridge,C2_mixture_conditioned,ilr_ridge_qproxy,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.34035893541035267,-0.006084041641006066,-0.010015236752425048,-0.0024445590018909594,1.7561451794429455,0.2626453548842908,0.2574320268010841,-0.005213328083206681,-0.008607578810728624,-0.0020337722981033147,1.9849306246072496
optional_quality,quadratic_ridge,C0_none,quadratic_ridge_qproxy,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.28400651077291483,0.28459804087601,0.0005915301030951503,-0.0022507616849566496,0.003343774350663476,-0.20828047268540417,0.2019101214322161,0.20217128965661146,0.00026116822439536946,-0.002191041454580008,0.002671996537033237,-0.12934875307033436
optional_quality,quadratic_ridge,C1_global,quadratic_ridge_qproxy,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.28400651077291483,0.28459804087601,0.0005915301030951503,-0.0022507616849566496,0.003343774350663476,-0.20828047268540417,0.2019101214322161,0.20217128965661146,0.00026116822439536946,-0.002191041454580008,0.002671996537033237,-0.12934875307033436
optional_quality,quadratic_ridge,C1_domain,quadratic_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.28400651077291483,0.28459804087601,0.0005915301030951503,-0.0022507616849566496,0.003343774350663476,-0.20828047268540417,0.2019101214322161,0.20217128965661146,0.00026116822439536946,-0.002191041454580008,0.002671996537033237,-0.12934875307033436
optional_quality,quadratic_ridge,C2_mixture_conditioned,quadratic_ridge_qproxy,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.28400651077291483,0.28459804087601,0.0005915301030951503,-0.0022507616849566496,0.003343774350663476,-0.20828047268540417,0.2019101214322161,0.20217128965661146,0.00026116822439536946,-0.002191041454580008,0.002671996537033237,-0.12934875307033436
optional_quality,ilr_ridge,C0_none,ilr_ridge_qproxy,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.6125830561174754,1.6120958764251363,-0.0004871796923391347,-0.0018207679739583205,0.0008024862384901849,0.030211137993232398,1.518786891829006,1.5191594897326415,0.0003725979036355298,-0.0020571740831571263,0.0028148690233931067,-0.02453259938178865
optional_quality,ilr_ridge,C1_global,ilr_ridge_qproxy,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.5518453015470415,0.5496227271115075,-0.002222574435533975,-0.005789205240103073,0.0014178010366170386,0.40275316819826434,0.41933505889313905,0.41725723550786764,-0.0020778233852714045,-0.005229172937951669,0.0010976442738792362,0.49550433268230626
optional_quality,ilr_ridge,C1_domain,ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.3733642529034672,0.370607376472966,-0.0027568764305012095,-0.005398126071336514,-1.6906960328544762e-06,0.7383878903945301,0.27147590849078396,0.26893622547593843,-0.0025396830148455285,-0.005062410751349349,1.1181557926503781e-05,0.9355095370946132
optional_quality,ilr_ridge,C2_mixture_conditioned,ilr_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.3483489047715735,0.3386754992678898,-0.009673405503683674,-0.013648345100414157,-0.005810460148675019,2.776930075329767,0.2627179322157879,0.2545945772062755,-0.00812335500951239,-0.011558184287722767,-0.004647048544482805,3.09204436141806
optional_quality,quadratic_ridge,C0_none,quadratic_ridge_qproxy,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.5993338679597553,1.6000657161060257,0.0007318481462703641,-0.002604242170471677,0.004050659360597746,-0.045759560335201996,1.5060437806723044,1.506611890978254,0.0005681103059496095,-0.002918004820390946,0.0040133798672855586,-0.037722031274283585
optional_quality,quadratic_ridge,C1_global,quadratic_ridge_qproxy,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.5493255284665994,0.5505565654316951,0.0012310369650956332,-0.0001767323097837614,0.002623272916987954,-0.22409971889199826,0.41088849328838856,0.41162647200981806,0.0007379787214294997,-0.0007701464885495084,0.0022039984653505493,-0.1796055945795342
optional_quality,quadratic_ridge,C1_domain,quadratic_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.368786068839705,0.3706331333700989,0.0018470645303939048,-0.0002814571316028136,0.003930738970829209,-0.5008498656701542,0.24912519465105137,0.2498863049333103,0.00076111028225892,-0.0013344848111797258,0.00283240223751884,-0.3055131711286785
